Genus,n,massg,HY,LOP,AL,OL,SF,BUN,OT,Excl_AL,ConsInGenhyp
Addax,1,70000.3,3,2,0,1,1,0,0,0,TRUE
Aepyceros,1,52500.1,3,2,0,1,0,0,0,0,TRUE
Alcelaphus,1,171001.5,3,2,0,1,0,0,1,0,TRUE
Alces,1,356998,1,2,1,0,0,0,0,1,TRUE
Allochrocebus,3,5708.333333,1,0,0,0,0,1,0,0,TRUE
Alouatta,12,6536.241667,1,1,0,0,0,1,0,0,TRUE
Ammodorcas,1,28049.8,3,2,1,1,0,0,0,0,TRUE
Ammotragus,1,48000,3,2,0,1,0,0,0,0,TRUE
Antidorcas,1,31500,3,2,0,1,0,0,0,0,TRUE
Antilocapra,1,46082.9,3,2,0,1,0,0,0,0,TRUE
Antilope,1,37500,3,2,1,0,0,0,0,1,TRUE
Arabitragus,1,23000,3,2,0,1,0,0,0,0,TRUE
Ateles,7,6851.428571,1,0,0,0,0,1,0,0,TRUE
Axis,4,48950.15,2,2,0,1,1,0,0,0,TRUE
Babyrousa,3,99363.43333,1,0,0,0,0,1,0,0,TRUE
Beatragus,1,80000,3,2,0,1,0,0,1,0,TRUE
Bison,2,539627.65,3,2,0,1,1,0,0,0,TRUE
Blastocerus,1,86666.2,1,2,1,0,0,0,0,1,TRUE
Bos,4,717812.5,3,2,0,1,1,0,0,0,TRUE
Boselaphus,1,169000,3,2,0,1,1,0,0,0,TRUE
Brachyteles,2,11182.45,1,0,0,0,0,1,0,0,TRUE
Bubalus,4,278250,3,2,0,1,1,0,0,0,TRUE
Budorcas,1,302000,3,2,0,1,0,0,0,0,TRUE
Cacajao,2,4448,1,0,0,0,0,1,0,0,TRUE
Camelus,1,690000,3,2,0,1,0,0,0,0,TRUE
Capra,9,67476.81111,3,2,0,1,0,0,0,0,TRUE
Capreolus,2,33126.1,1,2,1,0,0,0,0,1,TRUE
Capricornis,6,79276.66667,3,2,0,1,0,0,0,0,FALSE
Catagonus,1,35566.4,1,0,0,1,0,0,0,0,TRUE
Cebus,9,2547.655556,1,0,0,0,0,1,0,0,TRUE
Cephalophus,15,25733.38,2,2,0,1,1,0,0,0,TRUE
Ceratotherium,1,2949986.3,3,2,0,1,0,0,1,0,TRUE
Cercocebus,7,7994.171429,1,0,0,0,0,1,0,0,TRUE
Cercopithecus,17,4168.817647,1,0,0,0,0,1,0,0,TRUE
Cervus,4,110125,2,2,0,1,0,0,0,0,TRUE
Chiropotes,4,2964.675,1,0,0,0,0,1,0,0,TRUE
Chlorocebus,6,4087.5,1,0,0,0,0,1,0,0,TRUE
Choeropsis,1,235001.2,1,0,0,1,1,0,0,0,TRUE
Colobus,5,12709.76,1,0,1,0,0,0,0,1,TRUE
Connochaetes,2,179999,3,2,0,1,0,0,1,0,TRUE
Dama,2,64375,1,2,1,0,0,0,0,1,TRUE
Damaliscus,2,119000.15,3,2,0,1,0,0,1,0,TRUE
Daubentonia,1,2500,1,0,0,0,0,1,0,0,TRUE
Dicerorhinus,1,1266667,2,1,1,1,0,0,0,0,TRUE
Diceros,1,1180510.9,2,1,1,1,0,0,0,0,TRUE
Dorcatragus,1,10249.9,3,2,1,1,0,0,0,0,TRUE
Elaphodus,1,33500,1,2,1,0,0,0,0,1,TRUE
Elaphurus,1,149000,1,2,0,1,1,0,0,0,TRUE
Elephas,1,3160000,3,0,0,1,0,0,1,0,TRUE
Equus,7,241428.5714,3,2,0,1,0,0,1,0,TRUE
Erythrocebus,1,8090,1,0,0,0,0,1,0,0,TRUE
Eudorcas,4,28124.9,3,2,0,1,0,0,0,0,TRUE
Eulemur,12,2024.166667,1,0,1,0,0,0,0,1,TRUE
Gazella,8,22570.8375,3,2,0,1,0,0,0,0,FALSE
Giraffa,1,899994.8,1,2,1,0,0,0,0,1,TRUE
Gorilla,2,125475,1,0,0,0,0,1,0,0,TRUE
Hemitragus,1,35200,3,2,0,1,0,0,0,0,TRUE
Hippocamelus,2,69299.85,1,2,1,0,0,0,0,1,TRUE
Hippopotamus,1,1417490,2,0,0,1,1,0,0,0,TRUE
Hippotragus,2,248748.5,3,2,0,1,1,0,0,0,TRUE
Hoolock,2,6850,1,0,0,0,0,1,0,0,TRUE
Hydropotes,1,14000,1,2,1,1,0,0,0,0,TRUE
Hyemoschus,1,10850,1,2,1,1,0,0,0,0,TRUE
Hylobates,7,5704.571429,1,0,0,0,0,1,0,0,TRUE
Hylochoerus,1,188500,2,0,0,1,1,0,0,0,TRUE
Indri,1,8000,1,1,0,0,0,1,0,0,TRUE
Kobus,5,111650.1,3,2,0,1,1,0,0,0,TRUE
Lagothrix,4,5847.225,1,0,0,0,0,1,0,0,TRUE
Lama,1,120000,3,2,1,0,0,0,0,1,TRUE
Lemur,1,2900,1,0,0,0,0,1,0,0,TRUE
Litocranius,1,37999.7,2,2,0,1,0,0,0,0,TRUE
Lophocebus,2,6984.8,1,0,0,0,0,1,0,0,TRUE
Loxodonta,1,4400000,3,0,0,1,0,0,1,0,TRUE
Macaca,21,7416.485714,1,0,0,0,0,1,0,0,TRUE
Madoqua,4,4637.525,2,2,0,1,0,0,0,0,TRUE
Mandrillus,2,16624.95,1,0,0,0,0,1,0,0,TRUE
Mazama,10,20059.93,1,2,1,0,0,0,0,1,TRUE
Miopithecus,1,1278.3,1,0,0,0,0,1,0,0,TRUE
Moschiola,3,2469.066667,1,2,1,1,0,0,0,0,TRUE
Moschus,7,12485.71429,1,2,1,0,0,0,0,1,FALSE
Muntiacus,12,19575.94167,1,2,1,1,0,0,0,0,TRUE
Naemorhedus,4,26996.875,3,2,0,1,0,0,0,0,TRUE
Nanger,3,55999.73333,3,2,0,1,0,0,0,0,TRUE
Nasalis,1,9000,1,0,1,0,0,0,0,1,TRUE
Neotragus,2,3500,2,2,0,1,0,0,0,0,TRUE
Nesotragus,1,6500,2,2,0,1,0,0,0,0,TRUE
Nilgiritragus,1,75000,3,2,0,1,0,0,0,0,TRUE
Nomascus,6,7833.333333,1,0,0,0,0,1,0,0,TRUE
Nycticebus,1,1500,1,0,0,0,0,1,0,0,TRUE
Odocoileus,2,54860.6,1,2,1,1,0,0,0,0,TRUE
Okapia,1,230001.1,1,2,1,0,0,0,0,1,TRUE
Oreamnos,1,72500.3,3,2,0,1,0,0,0,0,TRUE
Oreonax,1,6800,1,0,0,0,0,1,0,0,TRUE
Oreotragus,1,12999.9,3,2,0,1,0,0,0,0,TRUE
Oryx,4,156675.325,3,2,0,1,1,0,0,0,TRUE
Ourebia,1,17250,3,2,0,1,1,0,0,0,TRUE
Ovibos,1,340501.1,3,2,0,1,0,0,0,0,TRUE
Ovis,5,92059.1,3,2,0,1,0,0,0,0,TRUE
Ozotoceros,1,40000,1,2,1,0,0,0,0,1,TRUE
Pan,2,38250.05,1,0,0,0,0,1,0,0,TRUE
Pantholops,1,27500,3,2,0,1,0,0,0,0,TRUE
Papio,5,18179.1,1,0,0,0,0,1,0,0,TRUE
Pecari,1,21266.7,1,0,0,1,0,0,0,0,TRUE
Pelea,1,20000,3,2,0,1,0,0,0,0,TRUE
Perodicticus,3,1108,1,0,0,0,0,1,0,0,TRUE
Phacochoerus,2,76750.15,3,0,0,0,0,1,1,0,TRUE
Philantomba,3,9083.333333,1,2,0,1,1,0,0,0,TRUE
Piliocolobus,13,8662.776923,1,0,1,0,0,0,0,1,TRUE
Pithecia,6,2017.333333,1,0,0,0,0,1,0,0,TRUE
Pongo,2,56950,1,0,0,0,0,1,0,0,TRUE
Porcula,1,7718,1,0,0,0,0,1,0,0,TRUE
Potamochoerus,2,83750.15,1,0,0,0,0,1,0,0,TRUE
